,TYPE,YEAR,MONTH,HUNDRED_BLOCK,h_block,full_address,lat,lon,lat_offset,lon_offset,cid
25,Theft From Auto Over $5000,2007,2,47XX BLOCK GLADSTONE ST,4700 BLOCK GLADSTONE ST,"4700 BLOCK GLADSTONE ST , Vancouver, BC, Canada",49.2425937,-123.0625683,49.24302523,-123.0621279,1
26,Theft From Auto Over $5000,2007,2,1XX W GEORGIA ST,100 W GEORGIA ST,"100 W GEORGIA ST , Vancouver, BC, Canada",49.2787064,-123.1125227,49.27914978,-123.1124226,1
27,Theft From Auto Over $5000,2007,2,10XX NELSON ST,1000 NELSON ST,"1000 NELSON ST , Vancouver, BC, Canada",49.2811165,-123.1261926,49.28148405,-123.1258275,1
28,Theft From Auto Over $5000,2007,2,12XX BLOCK ROBSON ST,1200 BLOCK ROBSON ST,"1200 BLOCK ROBSON ST , Vancouver, BC, Canada",49.2859863,-123.1272122,49.28638209,-123.1270396,1
29,Theft From Auto Over $5000,2007,2,4XX SEYMOUR ST,400 SEYMOUR ST,"400 SEYMOUR ST , Vancouver, BC, Canada",49.2844743,-123.1129097,49.28485298,-123.1124831,1
30,Theft From Auto Over $5000,2007,2,7XX BLOCK W PENDER ST,700 BLOCK W PENDER ST,"700 BLOCK W PENDER ST , Vancouver, BC, Canada",49.2848,-123.11562,49.28525914,-123.1151545,1
31,Theft From Auto Over $5000,2007,3,11XX BLOCK HAMILTON ST,1100 BLOCK HAMILTON ST,"1100 BLOCK HAMILTON ST , Vancouver, BC, Canada",49.2757095,-123.1211894,49.27612094,-123.1209006,1
32,Theft From Auto Over $5000,2007,3,57XX MAIN ST,5700 MAIN ST,"5700 MAIN ST , Vancouver, BC, Canada",49.2329704,-123.1013145,49.23339061,-123.1008235,1
33,Theft From Auto Over $5000,2007,3,17XX BLOCK MCSPADDEN AVE,1700 BLOCK MCSPADDEN AVE,"1700 BLOCK MCSPADDEN AVE , Vancouver, BC, Canada",49.2663151,-123.0694898,49.26669764,-123.0693329,1
34,Theft From Auto Over $5000,2007,3,13XX ROBSON ST,1300 ROBSON ST,"1300 ROBSON ST , Vancouver, BC, Canada",49.28707,-123.12925,49.28738593,-123.1291447,1
35,Theft From Auto Over $5000,2007,3,17XX COMOX ST,1700 COMO0 ST,"1700 COMO0 ST , Vancouver, BC, Canada",49.2876055,-123.1383789,49.28785299,-123.1380562,1
36,Theft From Auto Over $5000,2007,3,19XX DUNBAR ST,1900 DUNBAR ST,"1900 DUNBAR ST , Vancouver, BC, Canada",49.2693333,-123.1833661,49.26951685,-123.1829001,1
37,Theft From Auto Over $5000,2007,3,25XX BLOCK W 10TH AVE,2500 BLOCK W 10TH AVE,"2500 BLOCK W 10TH AVE , Vancouver, BC, Canada",49.2628652,-123.1624155,49.26310207,-123.1622679,1
38,Theft From Auto Over $5000,2007,3,28XX BLOCK E 43RD AVE,2800 BLOCK E 43RD AVE,"2800 BLOCK E 43RD AVE , Vancouver, BC, Canada",49.2310247,-123.0485721,49.23127492,-123.048315,1
40,Theft From Auto Over $5000,2007,3,2XX COLUMBIA ST,200 COLUMBIA ST,"200 COLUMBIA ST , Vancouver, BC, Canada",49.2830811,-123.1019644,49.2835266,-123.1015377,1
41,Theft From Auto Over $5000,2007,3,5XX W 28TH AVE,500 W 28TH AVE,"500 W 28TH AVE , Vancouver, BC, Canada",49.2459652,-123.1159866,49.24624504,-123.1156496,1
42,Theft From Auto Over $5000,2007,3,9XX BLOCK HOWE ST,900 BLOCK HOWE ST,"900 BLOCK HOWE ST , Vancouver, BC, Canada",49.28043,-123.12265,49.28073683,-123.1221543,1
43,Theft From Auto Over $5000,2007,3,67XX MONTGOMERY ST,6700 MONTGOMERY ST,"6700 MONTGOMERY ST , Vancouver, BC, Canada",49.2248873,-123.1317513,49.22528215,-123.1313078,1
44,Theft From Auto Over $5000,2007,3,16XX PENDRELL ST,1600 PENDRELL ST,"1600 PENDRELL ST , Vancouver, BC, Canada",49.285896,-123.1378613,49.28610503,-123.1375422,1
45,Theft From Auto Over $5000,2007,3,1XX E CORDOVA ST,100 E CORDOVA ST,"100 E CORDOVA ST , Vancouver, BC, Canada",49.28207,-123.10198,49.28245808,-123.1017109,1
46,Theft From Auto Over $5000,2007,3,MAIN ST / E PENDER ST,MAIN ST / E PENDER ST,"MAIN ST & E PENDER ST , Vancouver, BC, Canada",49.28038,-123.0997,49.28053718,-123.0994216,1
47,Theft From Auto Over $5000,2007,4,21XX CAMBRIDGE ST,2100 CAMBRIDGE ST,"2100 CAMBRIDGE ST , Vancouver, BC, Canada",49.2865051,-123.0606893,49.28694429,-123.060365,1
48,Theft From Auto Over $5000,2007,4,10XX E CORDOVA ST,1000 E CORDOVA ST,"1000 E CORDOVA ST , Vancouver, BC, Canada",49.2818849,-123.0821582,49.28230136,-123.0820473,1
49,Theft From Auto Over $5000,2007,4,83XX ST GEORGE ST,8300 ST GEORGE ST,"8300 ST GEORGE ST , Vancouver, BC, Canada",49.2093614,-123.093784,49.20969351,-123.0933793,1
50,Theft From Auto Over $5000,2007,4,4XX BLOCK COLUMBIA ST,400 BLOCK COLUMBIA ST,"400 BLOCK COLUMBIA ST , Vancouver, BC, Canada",49.2812509,-123.102044,49.28161859,-123.1015487,1
51,Theft From Auto Over $5000,2007,4,7XX DRAKE ST,700 DRAKE ST,"700 DRAKE ST , Vancouver, BC, Canada",49.2760756,-123.1280299,49.27624372,-123.1275851,1
52,Theft From Auto Over $5000,2007,4,7XX BLOCK W GEORGIA ST,700 BLOCK W GEORGIA ST,"700 BLOCK W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,49.28323105,-123.1185469,1
53,Theft From Auto Over $5000,2007,4,7XX W GEORGIA ST,700 W GEORGIA ST,"700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,49.2829898,-123.1185266,1
54,Theft From Auto Over $5000,2007,4,7XX DRAKE ST,700 DRAKE ST,"700 DRAKE ST , Vancouver, BC, Canada",49.2760756,-123.1280299,49.27630596,-123.1275457,1
55,Theft From Auto Over $5000,2007,4,33XX KINGSWAY AVE,3300 KINGSWAY AVE,"3300 KINGSWAY AVE , Vancouver, BC, Canada",49.2339245,-123.0357616,49.23411597,-123.035659,1
56,Theft From Auto Over $5000,2007,4,41XX BLOCK GLADSTONE ST,4100 BLOCK GLADSTONE ST,"4100 BLOCK GLADSTONE ST , Vancouver, BC, Canada",49.2487247,-123.0603851,49.24905957,-123.0601363,1
57,Theft From Auto Over $5000,2007,4,7XX SEYMOUR ST,700 SEYMOUR ST,"700 SEYMOUR ST , Vancouver, BC, Canada",49.2816172,-123.1172078,49.28211692,-123.1167951,1
58,Theft From Auto Over $5000,2007,4,1XX UNION ST,100 UNION ST,"100 UNION ST , Vancouver, BC, Canada",49.2775153,-123.1018806,49.27764314,-123.1017731,1
59,Theft From Auto Over $5000,2007,4,8XX LAGOON DR,800 LAGOON DR,"800 LAGOON DR , Vancouver, BC, Canada",49.2932736,-123.1384823,49.2934949,-123.138065,1
60,Theft From Auto Over $5000,2007,4,3XX WATER ST,300 WATER ST,"300 WATER ST , Vancouver, BC, Canada",49.2842264,-123.1090181,49.28442267,-123.1086091,1
61,Theft From Auto Over $5000,2007,4,10XX BARCLAY ST,1000 BARCLAY ST,"1000 BARCLAY ST , Vancouver, BC, Canada",49.2818261,-123.1251112,49.28221837,-123.1249231,1
62,Theft From Auto Over $5000,2007,4,7XX NICOLA ST,700 NICOLA ST,"700 NICOLA ST , Vancouver, BC, Canada",49.2895083,-123.1295395,49.28983642,-123.1291933,1
63,Theft From Auto Over $5000,2007,4,7XX W PENDER ST,700 W PENDER ST,"700 W PENDER ST , Vancouver, BC, Canada",49.2848,-123.11562,49.28490329,-123.1154988,1
65,Theft From Auto Over $5000,2007,4,4XX BLOCK HAMILTON ST,400 BLOCK HAMILTON ST,"400 BLOCK HAMILTON ST , Vancouver, BC, Canada",49.2825607,-123.1100148,49.28305637,-123.1097347,1
66,Theft From Auto Over $5000,2007,4,1XX BLOCK NELSON ST,100 BLOCK NELSON ST,"100 BLOCK NELSON ST , Vancouver, BC, Canada",49.2753464,-123.1172626,49.27571192,-123.1167895,1
67,Theft From Auto Over $5000,2007,4,2XX BLOCK E 6TH AVE,200 BLOCK E 6TH AVE,"200 BLOCK E 6TH AVE , Vancouver, BC, Canada",49.2653751,-123.1006498,49.26576096,-123.1005219,1
68,Theft From Auto Over $5000,2007,4,16XX JOHNSTON ST,1600 JOHNSTON ST,"1600 JOHNSTON ST , Vancouver, BC, Canada",49.2718907,-123.135216,49.27218431,-123.1348138,1
69,Theft From Auto Over $5000,2007,5,RICHARDS ST / W CORDOVA ST,RICHARDS ST / W CORDOVA ST,"RICHARDS ST & W CORDOVA ST , Vancouver, BC, Canada",49.28465,-123.11085,49.28480068,-123.1106966,1
70,Theft From Auto Over $5000,2007,5,8XX W 13TH AVE,800 W 13TH AVE,"800 W 13TH AVE , Vancouver, BC, Canada",49.2594451,-123.1221342,49.2597923,-123.1219708,1
71,Theft From Auto Over $5000,2007,5,5XX TAYLOR ST,500 TAYLOR ST,"500 TAYLOR ST , Vancouver, BC, Canada",49.2805107,-123.105474,49.28068337,-123.1050849,1
72,Theft From Auto Over $5000,2007,5,3XX BLOCK W CORDOVA ST,300 BLOCK W CORDOVA ST,"300 BLOCK W CORDOVA ST , Vancouver, BC, Canada",49.2834866,-123.109353,49.28398545,-123.109063,1
73,Theft From Auto Over $5000,2007,5,17XX COMOX ST,1700 COMO0 ST,"1700 COMO0 ST , Vancouver, BC, Canada",49.2876055,-123.1383789,49.28795674,-123.1382255,1
74,Theft From Auto Over $5000,2007,5,10XX ALBERNI ST,1000 ALBERNI ST,"1000 ALBERNI ST , Vancouver, BC, Canada",49.2839249,-123.1219471,49.28427068,-123.1217872,1
75,Theft From Auto Over $5000,2007,5,COLUMBIA ST / POWELL ST,COLUMBIA ST / POWELL ST,"COLUMBIA ST & POWELL ST , Vancouver, BC, Canada",49.28324,-123.10217,49.28341004,-123.1018902,1
76,Theft From Auto Over $5000,2007,5,61XX BLENHEIM ST,6100 BLENHEIM ST,"6100 BLENHEIM ST , Vancouver, BC, Canada",49.230869,-123.1785069,49.23128606,-123.1782233,1
77,Theft From Auto Over $5000,2007,5,23XX COLUMBIA ST,2300 COLUMBIA ST,"2300 COLUMBIA ST , Vancouver, BC, Canada",49.2646221,-123.1093151,49.26499907,-123.1092143,1
78,Theft From Auto Over $5000,2007,5,15XX W 16TH AVE,1500 W 16TH AVE,"1500 W 16TH AVE , Vancouver, BC, Canada",49.2568399,-123.13923,49.25705,-123.138745,1
79,Theft From Auto Over $5000,2007,5,27XX ARBUTUS ST,2700 ARBUTUS ST,"2700 ARBUTUS ST , Vancouver, BC, Canada",49.2617916,-123.1528344,49.26220242,-123.1525551,1
80,Theft From Auto Over $5000,2007,5,4XX SEYMOUR ST,400 SEYMOUR ST,"400 SEYMOUR ST , Vancouver, BC, Canada",49.2844743,-123.1129097,49.28495698,-123.1127986,1
81,Theft From Auto Over $5000,2007,5,15XX BLOCK OLD BRIDGE ST,1500 BLOCK OLD BRIDGE ST,"1500 BLOCK OLD BRIDGE ST , Vancouver, BC, Canada",49.2698921,-123.1351859,49.27004699,-123.1349848,1
82,Theft From Auto Over $5000,2007,5,12XX MELVILLE ST,1200 MELVILLE ST,"1200 MELVILLE ST , Vancouver, BC, Canada",49.2878266,-123.124373,49.28821635,-123.1241543,1
83,Theft From Auto Over $5000,2007,5,7XX GRANVILLE ST,700 GRANVILLE ST,"700 GRANVILLE ST , Vancouver, BC, Canada",49.2822179,-123.1182166,49.28259572,-123.1178283,1
84,Theft From Auto Over $5000,2007,5,RICHARDS ST / W GEORGIA ST,RICHARDS ST / W GEORGIA ST,"RICHARDS ST & W GEORGIA ST , Vancouver, BC, Canada",49.2812399,-123.11614,49.28169304,-123.1156789,1
85,Theft From Auto Over $5000,2007,5,1XX BLOCK W GEORGIA ST,100 BLOCK W GEORGIA ST,"100 BLOCK W GEORGIA ST , Vancouver, BC, Canada",49.2787064,-123.1125227,49.27914585,-123.1121236,1
86,Theft From Auto Over $5000,2007,5,11XX BLOCK NELSON ST,1100 BLOCK NELSON ST,"1100 BLOCK NELSON ST , Vancouver, BC, Canada",49.2824647,-123.1282263,49.28264356,-123.1280361,1
87,Theft From Auto Over $5000,2007,5,33XX W 7TH AVE,3300 W 7TH AVE,"3300 W 7TH AVE , Vancouver, BC, Canada",49.2658051,-123.1780015,49.26630328,-123.1775961,1
88,Theft From Auto Over $5000,2007,6,14XX ANDERSON ST,1400 ANDERSON ST,"1400 ANDERSON ST , Vancouver, BC, Canada",49.2708035,-123.135533,49.27106908,-123.1350336,1
89,Theft From Auto Over $5000,2007,6,7XX BLOCK THURLOW ST,700 BLOCK THURLOW ST,"700 BLOCK THURLOW ST , Vancouver, BC, Canada",49.2854289,-123.1233068,49.28562823,-123.1228678,1
90,Theft From Auto Over $5000,2007,6,18XX ADANAC ST,1800 ADANAC ST,"1800 ADANAC ST , Vancouver, BC, Canada",49.2774451,-123.0680718,49.27780542,-123.0679291,1
91,Theft From Auto Over $5000,2007,6,GRANVILLE STREET BRDG / SEYMOUR ST OFRP,GRANVILLE STREET BRDG / SEYMOUR ST OFRP,"GRANVILLE STREET BRDG & SEYMOUR ST OFRP , Vancouver, BC, Canada",49.27506,-123.12941,49.27551615,-123.129041,1
92,Theft From Auto Over $5000,2007,6,7XX GRANVILLE ST,700 GRANVILLE ST,"700 GRANVILLE ST , Vancouver, BC, Canada",49.2822179,-123.1182166,49.2826076,-123.118111,1
93,Theft From Auto Over $5000,2007,6,1XX BLOCK POWELL ST,100 BLOCK POWELL ST,"100 BLOCK POWELL ST , Vancouver, BC, Canada",49.28297,-123.10184,49.28321035,-123.1016223,1
94,Theft From Auto Over $5000,2007,6,32XX BLOCK ST CATHERINES ST,3200 BLOCK ST CATHERINES ST,"3200 BLOCK ST CATHERINES ST , Vancouver, BC, Canada",49.2562525,-123.0853441,49.25635423,-123.0850542,1
96,Theft From Auto Over $5000,2007,6,43XX WINDSOR ST,4300 WINDSOR ST,"4300 WINDSOR ST , Vancouver, BC, Canada",49.2464115,-123.0837163,49.24656262,-123.0833476,1
97,Theft From Auto Over $5000,2007,6,27XX CHANDLERY PL,2700 CHANDLERY PL,"2700 CHANDLERY PL , Vancouver, BC, Canada",49.2067448,-123.0512758,49.20694316,-123.0510813,1
99,Theft From Auto Over $5000,2007,6,W PENDER ST / TAYLOR ST,W PENDER ST / TAYLOR ST,"W PENDER ST & TAYLOR ST , Vancouver, BC, Canada",49.28073,-123.10558,49.28094009,-123.1054124,1
100,Theft From Auto Over $5000,2007,6,3XX BLOCK TERMINAL AVE,300 BLOCK TERMINAL AVE,"300 BLOCK TERMINAL AVE , Vancouver, BC, Canada",49.2722001,-123.0978569,49.2723434,-123.0976467,1
101,Theft From Auto Over $5000,2007,7,1XX E 3RD AVE,100 E 3RD AVE,"100 E 3RD AVE , Vancouver, BC, Canada",49.2681151,-123.1025304,49.26849067,-123.1022419,1
102,Theft From Auto Over $5000,2007,7,SEYMOUR ST / W PENDER ST,SEYMOUR ST / W PENDER ST,"SEYMOUR ST & W PENDER ST , Vancouver, BC, Canada",49.28401,-123.11388,49.28445903,-123.1136232,1
103,Theft From Auto Over $5000,2007,7,14XX BLOCK ANDERSON ST,1400 BLOCK ANDERSON ST,"1400 BLOCK ANDERSON ST , Vancouver, BC, Canada",49.2708035,-123.135533,49.27109234,-123.1353217,1
104,Theft From Auto Over $5000,2007,7,1XX BLOCK DUNLEVY AVE,100 BLOCK DUNLEVY AVE,"100 BLOCK DUNLEVY AVE , Vancouver, BC, Canada",49.283901,-123.0950641,49.28439749,-123.094876,1
105,Theft From Auto Over $5000,2007,7,11XX BLOCK ALBERNI ST,1100 BLOCK ALBERNI ST,"1100 BLOCK ALBERNI ST , Vancouver, BC, Canada",49.2852654,-123.1239986,49.28572346,-123.1238595,1
106,Theft From Auto Over $5000,2007,7,8XX ABBOTT ST,800 ABBOTT ST,"800 ABBOTT ST , Vancouver, BC, Canada",49.28035,-123.10761,49.28053086,-123.1072772,1
107,Theft From Auto Over $5000,2007,7,7XX W 14TH AVE,700 W 14TH AVE,"700 W 14TH AVE , Vancouver, BC, Canada",49.2584951,-123.1202122,49.25860423,-123.1197898,1
109,Theft From Auto Over $5000,2007,7,14XX BLOCK LAKEWOOD DR,1400 BLOCK LAKEWOOD DR,"1400 BLOCK LAKEWOOD DR , Vancouver, BC, Canada",49.27185,-123.06153,49.27204696,-123.0611753,1
110,Theft From Auto Over $5000,2007,7,1XX WATER ST,100 WATER ST,"100 WATER ST , Vancouver, BC, Canada",49.2837861,-123.1065744,49.28410639,-123.106474,1
111,Theft From Auto Over $5000,2007,7,W HASTINGS ST / HOWE ST,W HASTINGS ST / HOWE ST,"W HASTINGS ST & HOWE ST , Vancouver, BC, Canada",49.28595,-123.11487,49.28632485,-123.1143715,1
112,Theft From Auto Over $5000,2007,7,8XX BLOCK STATION ST,800 BLOCK STATION ST,"800 BLOCK STATION ST , Vancouver, BC, Canada",49.2765789,-123.0988255,49.27678094,-123.0984405,1
113,Theft From Auto Over $5000,2007,7,W 41ST AVE / YEW ST,W 41ST AVE / YEW ST,"W 41ST AVE & YEW ST , Vancouver, BC, Canada",49.23465,-123.15842,49.23511581,-123.1580128,1
114,Theft From Auto Over $5000,2007,8,32XX DIEPPE DR,3200 DIEPPE DR,"3200 DIEPPE DR , Vancouver, BC, Canada",49.2566201,-123.0266801,49.25696812,-123.0263969,1
115,Theft From Auto Over $5000,2007,8,15XX E 12TH AVE,1500 E 12TH AVE,"1500 E 12TH AVE , Vancouver, BC, Canada",49.2594551,-123.0734074,49.25971124,-123.0729643,1
116,Theft From Auto Over $5000,2007,8,7XX THURLOW ST,700 THURLOW ST,"700 THURLOW ST , Vancouver, BC, Canada",49.2854289,-123.1233068,49.28563635,-123.1228377,1
117,Theft From Auto Over $5000,2007,8,7XX BLOCK E 19TH AVE,700 BLOCK E 19TH AVE,"700 BLOCK E 19TH AVE , Vancouver, BC, Canada",49.2536051,-123.0897733,49.25407863,-123.089427,1
118,Theft From Auto Over $5000,2007,8,18XX BLOCK COMMERCIAL DR,1800 BLOCK COMMERCIAL DR,"1800 BLOCK COMMERCIAL DR , Vancouver, BC, Canada",49.2685675,-123.0695151,49.26889377,-123.069365,1
119,Theft From Auto Over $5000,2007,8,12XX BLOCK GRANVILLE ST,1200 BLOCK GRANVILLE ST,"1200 BLOCK GRANVILLE ST , Vancouver, BC, Canada",49.2769284,-123.1262661,49.27733234,-123.1258392,1
120,Theft From Auto Over $5000,2007,8,11XX GRANVILLE ST,1100 GRANVILLE ST,"1100 GRANVILLE ST , Vancouver, BC, Canada",49.27778,-123.12465,49.2782274,-123.1242964,1
121,Theft From Auto Over $5000,2007,8,4XX BLOCK COLUMBIA ST,400 BLOCK COLUMBIA ST,"400 BLOCK COLUMBIA ST , Vancouver, BC, Canada",49.2812509,-123.102044,49.28160133,-123.1018518,1
122,Theft From Auto Over $5000,2007,8,4XX BROUGHTON ST,400 BROUGHTON ST,"400 BROUGHTON ST , Vancouver, BC, Canada",49.2905505,-123.1259189,49.29097299,-123.1256075,1
123,Theft From Auto Over $5000,2007,8,20XX W 12TH AVE,2000 W 12TH AVE,"2000 W 12TH AVE , Vancouver, BC, Canada",49.26068,-123.15104,49.26113647,-123.1508245,1
124,Theft From Auto Over $5000,2007,8,4XX CAMBIE ST,400 CAMBIE ST,"400 CAMBIE ST , Vancouver, BC, Canada",49.2824449,-123.1093962,49.28261073,-123.1092065,1
125,Theft From Auto Over $5000,2007,8,12XX W PENDER ST,1200 W PENDER ST,"1200 W PENDER ST , Vancouver, BC, Canada",49.2882976,-123.123589,49.28876491,-123.1232428,1
126,Theft From Auto Over $5000,2007,8,20XX BLOCK FIR ST,2000 BLOCK FIR ST,"2000 BLOCK FIR ST , Vancouver, BC, Canada",49.2678847,-123.1406601,49.26808023,-123.1404994,1
127,Theft From Auto Over $5000,2007,8,10XX W WATERFRONT RD,1000 W WATERFRONT RD,"1000 W WATERFRONT RD , Vancouver, BC, Canada",49.2866,-123.11081,49.28699081,-123.1104146,1
128,Theft From Auto Over $5000,2007,8,12XX DAVIE ST,1200 DAVIE ST,"1200 DAVIE ST , Vancouver, BC, Canada",49.2817662,-123.1336116,49.28210228,-123.1333594,1
129,Theft From Auto Over $5000,2007,8,HEATLEY AVE / E PENDER ST,HEATLEY AVE / E PENDER ST,"HEATLEY AVE & E PENDER ST , Vancouver, BC, Canada",49.2802,-123.08951,49.28057218,-123.0891235,1
130,Theft From Auto Over $5000,2007,8,1XX E PENDER ST,100 E PENDER ST,"100 E PENDER ST , Vancouver, BC, Canada",49.28017,-123.10214,49.28065486,-123.1017526,1
131,Theft From Auto Over $5000,2007,8,8XX ROBSON ST,800 ROBSON ST,"800 ROBSON ST , Vancouver, BC, Canada",49.2818944,-123.1208755,49.28203131,-123.1206205,1
132,Theft From Auto Over $5000,2007,8,4XX KEEFER ST,400 KEEFER ST,"400 KEEFER ST , Vancouver, BC, Canada",49.2792229,-123.095086,49.27957675,-123.0946253,1
133,Theft From Auto Over $5000,2007,8,7XX BLOCK ROBSON ST,700 BLOCK ROBSON ST,"700 BLOCK ROBSON ST , Vancouver, BC, Canada",49.2813352,-123.1200183,49.28173111,-123.1198969,1
134,Theft From Auto Over $5000,2007,8,10XX BEACH AVE,1000 BEACH AVE,"1000 BEACH AVE , Vancouver, BC, Canada",49.27562,-123.1342,49.27582264,-123.1340838,1
135,Theft From Auto Over $5000,2007,8,20XX BLOCK YEW ST,2000 BLOCK YEW ST,"2000 BLOCK YEW ST , Vancouver, BC, Canada",49.268,-123.1549347,49.26833019,-123.1545159,1
136,Theft From Auto Over $5000,2007,8,68XX WILTSHIRE ST,6800 WILTSHIRE ST,"6800 WILTSHIRE ST , Vancouver, BC, Canada",49.2240045,-123.1464641,49.22436054,-123.1460901,1
137,Theft From Auto Over $5000,2007,8,9XX BLOCK CHILCO ST,900 BLOCK CHILCO ST,"900 BLOCK CHILCO ST , Vancouver, BC, Canada",49.2923129,-123.139757,49.29266979,-123.1393892,1
138,Theft From Auto Over $5000,2007,8,DRAKE ST / PACIFIC BLVD,DRAKE ST / PACIFIC BLVD,"DRAKE ST & PACIFIC BLVD , Vancouver, BC, Canada",49.2734,-123.1236,49.27378352,-123.1232344,1
139,Theft From Auto Over $5000,2007,8,6XX MOBERLY RD,600 MOBERLY RD,"600 MOBERLY RD , Vancouver, BC, Canada",49.26649,-123.11864,49.2669111,-123.1183795,1
140,Theft From Auto Over $5000,2007,8,6XX MOBERLY RD,600 MOBERLY RD,"600 MOBERLY RD , Vancouver, BC, Canada",49.26649,-123.11864,49.26691601,-123.1185345,1
141,Theft From Auto Over $5000,2007,8,18XX MAIN ST,1800 MAIN ST,"1800 MAIN ST , Vancouver, BC, Canada",49.26872,-123.10042,49.26887968,-123.100283,1
142,Theft From Auto Over $5000,2007,8,SMITHE ST / HORNBY ST,SMITHE ST / HORNBY ST,"SMITHE ST & HORNBY ST , Vancouver, BC, Canada",49.28155,-123.12337,49.28203136,-123.122888,1
143,Theft From Auto Over $5000,2007,8,16XX JOHNSTON ST,1600 JOHNSTON ST,"1600 JOHNSTON ST , Vancouver, BC, Canada",49.2718907,-123.135216,49.27226504,-123.1349939,1
144,Theft From Auto Over $5000,2007,8,MAIN ST / E 36TH AVE,MAIN ST / E 36TH AVE,"MAIN ST & E 36TH AVE , Vancouver, BC, Canada",49.23814,-123.10159,49.23825707,-123.1011286,1
145,Theft From Auto Over $5000,2007,8,11XX HOWE ST,1100 HOWE ST,"1100 HOWE ST , Vancouver, BC, Canada",49.278619,-123.1257033,49.27878763,-123.1252575,1
