"","X","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_blk","full_address","lat","lon","cid","lat_offset","lon_offset"
"21",23,"Commercial Break and Enter",2014,1,"2XX E HASTINGS ST","200 E HASTINGS ST"," 200 E HASTINGS ST, Vancouver, BC, Canada",49.2811945,-123.0994298,1,49.2813994755991,-123.099187122508
"22",24,"Commercial Break and Enter",2014,1,"11XX HOWE ST","1100 HOWE ST"," 1100 HOWE ST, Vancouver, BC, Canada",49.278619,-123.1257033,1,49.2787429680433,-123.125253656183
"23",25,"Commercial Break and Enter",2014,1,"6XX STAMPS LAND","600 STAMPS LAND"," 600 STAMPS LAND, Vancouver, BC, Canada",49.2687769,-123.1181316,1,49.2691792603979,-123.117756095141
"24",26,"Commercial Break and Enter",2014,1,"8XX E HASTINGS ST","800 E HASTINGS ST"," 800 E HASTINGS ST, Vancouver, BC, Canada",49.2809643,-123.0868638,1,49.2813876040879,-123.08659573901
"25",27,"Commercial Break and Enter",2014,1,"4XX W HASTINGS ST","400 W HASTINGS ST"," 400 W HASTINGS ST, Vancouver, BC, Canada",49.28334,-123.11145,1,49.2836737482182,-123.111040408245
"26",28,"Commercial Break and Enter",2014,1,"9XX W 16TH AVE","900 W 16TH AVE"," 900 W 16TH AVE, Vancouver, BC, Canada",49.2569452,-123.1245749,1,49.2570632906251,-123.124449916659
"27",29,"Commercial Break and Enter",2014,1,"1XX VICTORIA DR","100 VICTORIA DR"," 100 VICTORIA DR, Vancouver, BC, Canada",49.2838122,-123.0652859,1,49.2840484858956,-123.064823231367
"28",30,"Commercial Break and Enter",2014,1,"26XX GRANVILLE ST","2600 GRANVILLE ST"," 2600 GRANVILLE ST, Vancouver, BC, Canada",49.2624943,-123.138405,1,49.2629739609691,-123.137963061571
"29",31,"Commercial Break and Enter",2014,1,"31XX PRINCE EDWARD ST","3100 PRINCE EDWARD ST"," 3100 PRINCE EDWARD ST, Vancouver, BC, Canada",49.2573139,-123.0963451,1,49.2576021794225,-123.096238712906
"30",32,"Commercial Break and Enter",2014,1,"1XX E 6TH AVE","100 E 6TH AVE"," 100 E 6TH AVE, Vancouver, BC, Canada",49.2654047,-123.1026241,1,49.2655776272264,-123.102434362389
"31",33,"Commercial Break and Enter",2014,1,"43XX W 10TH AVE","4300 W 10TH AVE"," 4300 W 10TH AVE, Vancouver, BC, Canada",49.2636151,-123.2032222,1,49.26380383236,-123.202888157673
"32",34,"Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST"," 700 E CORDOVA ST, Vancouver, BC, Canada",49.2819547,-123.0892022,1,49.2824097053115,-123.088955612603
"33",35,"Commercial Break and Enter",2014,1,"5XX GREAT NORTHERN WAY","500 GREAT NORTHERN WAY"," 500 GREAT NORTHERN WAY, Vancouver, BC, Canada",49.2666618,-123.0929656,1,49.2668062947611,-123.09284524753
"34",36,"Commercial Break and Enter",2014,1,"14XX WILLIAM ST","1400 WILLIAM ST"," 1400 WILLIAM ST, Vancouver, BC, Canada",49.2739343,-123.0756197,1,49.2744158539087,-123.075370975609
"35",37,"Commercial Break and Enter",2014,1,"11XX W PENDER ST","1100 W PENDER ST"," 1100 W PENDER ST, Vancouver, BC, Canada",49.2874375,-123.1206187,1,49.2877257152782,-123.120314775098
"36",38,"Commercial Break and Enter",2014,1,"37XX W 28TH AVE","3700 W 28TH AVE"," 3700 W 28TH AVE, Vancouver, BC, Canada",49.2469852,-123.1867155,1,49.247265539807,-123.186311804869
"37",39,"Commercial Break and Enter",2014,1,"6XX HOWE ST","600 HOWE ST"," 600 HOWE ST, Vancouver, BC, Canada",49.2841363,-123.1173675,1,49.2844090778013,-123.117056010251
"38",40,"Commercial Break and Enter",2014,1,"15XX E HASTINGS ST","1500 E HASTINGS ST"," 1500 E HASTINGS ST, Vancouver, BC, Canada",49.28097,-123.07396,1,49.2814186865134,-123.073858195904
"39",41,"Commercial Break and Enter",2014,1,"25XX FRASER ST","2500 FRASER ST"," 2500 FRASER ST, Vancouver, BC, Canada",49.2624447,-123.0889548,1,49.2628992757696,-123.088549174919
"40",42,"Commercial Break and Enter",2014,1,"3XX RAILWAY ST","300 RAILWAY ST"," 300 RAILWAY ST, Vancouver, BC, Canada",49.2842268,-123.0976581,1,49.2845925666598,-123.097395644897
"41",43,"Commercial Break and Enter",2014,1,"33XX FRASER ST","3300 FRASER ST"," 3300 FRASER ST, Vancouver, BC, Canada",49.2554174,-123.0897044,1,49.2556792424375,-123.089514207273
"42",44,"Commercial Break and Enter",2014,1,"5XX CLARK DR","500 CLARK DR"," 500 CLARK DR, Vancouver, BC, Canada",49.2802136,-123.0769851,1,49.2805655384992,-123.076879297577
"43",45,"Commercial Break and Enter",2014,1,"20XX W 12TH AVE","2000 W 12TH AVE"," 2000 W 12TH AVE, Vancouver, BC, Canada",49.26068,-123.15104,1,49.2610197549165,-123.150651710696
"44",46,"Commercial Break and Enter",2014,1,"44XX DUNBAR ST","4400 DUNBAR ST"," 4400 DUNBAR ST, Vancouver, BC, Canada",49.2469435,-123.1850951,1,49.2471283550944,-123.184720108896
"45",47,"Commercial Break and Enter",2014,1,"44XX MAIN ST","4400 MAIN ST"," 4400 MAIN ST, Vancouver, BC, Canada",49.2455259,-123.1010561,1,49.2456831710684,-123.10063908494
"46",48,"Commercial Break and Enter",2014,1,"20XX W 41ST AVE","2000 W 41ST AVE"," 2000 W 41ST AVE, Vancouver, BC, Canada",49.2344051,-123.1522602,1,49.2347002613528,-123.151981851554
"47",49,"Commercial Break and Enter",2014,1,"8XX W 41ST AVE","800 W 41ST AVE"," 800 W 41ST AVE, Vancouver, BC, Canada",49.2336851,-123.1238152,1,49.2337915991514,-123.123692117797
"48",50,"Commercial Break and Enter",2014,1,"1XX DAVIE ST","100 DAVIE ST"," 100 DAVIE ST, Vancouver, BC, Canada",49.2729763,-123.1200325,1,49.2733082026847,-123.119927292525
"49",51,"Commercial Break and Enter",2014,1,"42XX ARBUTUS ST","4200 ARBUTUS ST"," 4200 ARBUTUS ST, Vancouver, BC, Canada",49.2479282,-123.1530951,1,49.2484100237723,-123.152760377666
"50",52,"Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST"," 100 POWELL ST, Vancouver, BC, Canada",49.28297,-123.10184,1,49.2831088788646,-123.101676884152
"51",53,"Commercial Break and Enter",2014,1,"8XX BEATTY ST","800 BEATTY ST"," 800 BEATTY ST, Vancouver, BC, Canada",49.2774488,-123.1139524,1,49.2778659116382,-123.113585560689
"52",54,"Commercial Break and Enter",2014,1,"29XX PRINCE EDWARD ST","2900 PRINCE EDWARD ST"," 2900 PRINCE EDWARD ST, Vancouver, BC, Canada",49.2591024,-123.0961144,1,49.2595676877402,-123.09590489764
"53",55,"Commercial Break and Enter",2014,1,"1XX W PENDER ST","100 W PENDER ST"," 100 W PENDER ST, Vancouver, BC, Canada",49.28096,-123.10846,1,49.2813476956529,-123.108209477671
"54",56,"Commercial Break and Enter",2014,1,"4XX W 2ND AVE","400 W 2ND AVE"," 400 W 2ND AVE, Vancouver, BC, Canada",49.2674396,-123.1128636,1,49.267799105894,-123.1124748539
"55",57,"Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST"," 100 POWELL ST, Vancouver, BC, Canada",49.28297,-123.10184,1,49.2834669089978,-123.101377901927
"56",58,"Commercial Break and Enter",2014,1,"36XX KINGSWAY AVE","3600 KINGSWAY AVE"," 3600 KINGSWAY AVE, Vancouver, BC, Canada",49.2320214,-123.0267836,1,49.232382140942,-123.026298633018
"57",59,"Commercial Break and Enter",2014,1,"7XX SE MARINE DR","700 SE MARINE DR"," 700 SE MARINE DR, Vancouver, BC, Canada",49.2108851,-123.0908499,1,49.2112908376199,-123.090548322027
"58",60,"Commercial Break and Enter",2014,1,"64XX VICTORIA DR","6400 VICTORIA DR"," 6400 VICTORIA DR, Vancouver, BC, Canada",49.2261902,-123.0655339,1,49.2265927675276,-123.065147410793
"59",61,"Commercial Break and Enter",2014,1,"5XX W BROADWAY AVE","500 W BROADWAY AVE"," 500 W BROADWAY AVE, Vancouver, BC, Canada",49.26291,-123.1153,1,49.2632781153293,-123.115130394499
"60",62,"Commercial Break and Enter",2014,1,"7XX SAWYERS LANE","700 SAWYERS LANE"," 700 SAWYERS LANE, Vancouver, BC, Canada",49.2667795,-123.1209282,1,49.2671857376707,-123.120809430361
"61",63,"Commercial Break and Enter",2014,1,"7XX SAWYERS LANE","700 SAWYERS LANE"," 700 SAWYERS LANE, Vancouver, BC, Canada",49.2667795,-123.1209282,1,49.2668977169361,-123.120774952878
"62",64,"Commercial Break and Enter",2014,1,"8XX SAWYERS LANE","800 SAWYERS LANE"," 800 SAWYERS LANE, Vancouver, BC, Canada",49.2667104,-123.1212891,1,49.2669146391701,-123.120894118975
"63",65,"Commercial Break and Enter",2014,1,"57XX OAK ST","5700 OAK ST"," 5700 OAK ST, Vancouver, BC, Canada",49.2337995,-123.1279651,1,49.2340084209707,-123.12778644465
"64",66,"Commercial Break and Enter",2014,1,"82XX MANITOBA ST","8200 MANITOBA ST"," 8200 MANITOBA ST, Vancouver, BC, Canada",49.2114705,-123.1098589,1,49.2118370502047,-123.109615505748
"65",67,"Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST"," 100 POWELL ST, Vancouver, BC, Canada",49.28297,-123.10184,1,49.2834062206417,-123.101501329275
"66",68,"Commercial Break and Enter",2014,1,"23XX MAIN ST","2300 MAIN ST"," 2300 MAIN ST, Vancouver, BC, Canada",49.2645386,-123.1006974,1,49.2648039634814,-123.100389458925
"67",69,"Commercial Break and Enter",2014,1,"1XX W HASTINGS ST","100 W HASTINGS ST"," 100 W HASTINGS ST, Vancouver, BC, Canada",49.2818961,-123.1074143,1,49.2821628417542,-123.107037802328
"68",70,"Commercial Break and Enter",2014,1,"29XX GRANVILLE ST","2900 GRANVILLE ST"," 2900 GRANVILLE ST, Vancouver, BC, Canada",49.2597074,-123.1385044,1,49.2600242983595,-123.13835309174
"69",71,"Commercial Break and Enter",2014,1,"7XX THURLOW ST","700 THURLOW ST"," 700 THURLOW ST, Vancouver, BC, Canada",49.2854289,-123.1233068,1,49.2858207778216,-123.123191837061
"70",72,"Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE"," 100 W 1ST AVE, Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2704828413408,-123.106611988005
"71",73,"Commercial Break and Enter",2014,1,"10XX HARWOOD ST","1000 HARWOOD ST"," 1000 HARWOOD ST, Vancouver, BC, Canada",49.2776163,-123.1315319,1,49.2778713605347,-123.131254284322
"72",74,"Commercial Break and Enter",2014,1,"1XX W BROADWAY AVE","100 W BROADWAY AVE"," 100 W BROADWAY AVE, Vancouver, BC, Canada",49.2629351,-123.1070431,1,49.2632288787863,-123.106679063276
"73",75,"Commercial Break and Enter",2014,1,"29XX W 4TH AVE","2900 W 4TH AVE"," 2900 W 4TH AVE, Vancouver, BC, Canada",49.2682605,-123.1704888,1,49.2683644629366,-123.170165574863
"74",76,"Commercial Break and Enter",2014,1,"6XX W BROADWAY AVE","600 W BROADWAY AVE"," 600 W BROADWAY AVE, Vancouver, BC, Canada",49.2631451,-123.117715,1,49.2636260067612,-123.117432313426
"75",78,"Commercial Break and Enter",2014,1,"26XX FIR ST","2600 FIR ST"," 2600 FIR ST, Vancouver, BC, Canada",49.2625074,-123.1408767,1,49.2629908590872,-123.140379055519
"76",79,"Commercial Break and Enter",2014,1,"2XX E 14TH AVE","200 E 14TH AVE"," 200 E 14TH AVE, Vancouver, BC, Canada",49.2582751,-123.1003393,1,49.2585292582107,-123.099947392995
"77",80,"Commercial Break and Enter",2014,1,"1XX E 1ST AVE","100 E 1ST AVE"," 100 E 1ST AVE, Vancouver, BC, Canada",49.2700347,-123.1024001,1,49.2701355886992,-123.102163671651
"78",81,"Commercial Break and Enter",2014,1,"5XX SMITHE ST","500 SMITHE ST"," 500 SMITHE ST, Vancouver, BC, Canada",49.2790106,-123.1197059,1,49.2793153737451,-123.119465453464
"79",82,"Commercial Break and Enter",2014,1,"7XX BEATTY ST","700 BEATTY ST"," 700 BEATTY ST, Vancouver, BC, Canada",49.2785058,-123.1123711,1,49.2786605805477,-123.111972299783
"80",83,"Commercial Break and Enter",2014,1,"5XX GRANVILLE ST","500 GRANVILLE ST"," 500 GRANVILLE ST, Vancouver, BC, Canada",49.2843,-123.11484,1,49.2846484498996,-123.114670281679
"81",85,"Commercial Break and Enter",2014,1,"18XX MAIN ST","1800 MAIN ST"," 1800 MAIN ST, Vancouver, BC, Canada",49.26872,-123.10042,1,49.2691351437111,-123.100292026371
"82",86,"Commercial Break and Enter",2014,1,"85XX FRASER ST","8500 FRASER ST"," 8500 FRASER ST, Vancouver, BC, Canada",49.2068177,-123.0909365,1,49.206981275873,-123.090436941787
"83",87,"Commercial Break and Enter",2014,1,"22XX W BROADWAY AVE","2200 W BROADWAY AVE"," 2200 W BROADWAY AVE, Vancouver, BC, Canada",49.2637451,-123.1555228,1,49.263971638863,-123.155323353584
"84",89,"Commercial Break and Enter",2014,1,"13XX E KENT N AVE","1300 E KENT N AVE"," 1300 E KENT N AVE, Vancouver, BC, Canada",49.2089654,-123.0805572,1,49.2092325993208,-123.080092876875
"85",90,"Commercial Break and Enter",2014,1,"63XX FRASER ST","6300 FRASER ST"," 6300 FRASER ST, Vancouver, BC, Canada",49.2272873,-123.0905146,1,49.2273934163897,-123.090111662173
"86",91,"Commercial Break and Enter",2014,1,"29XX W BROADWAY AVE","2900 W BROADWAY AVE"," 2900 W BROADWAY AVE, Vancouver, BC, Canada",49.2639851,-123.1703122,1,49.2640989634721,-123.170155756674
"87",92,"Commercial Break and Enter",2014,1,"12XX BIDWELL ST","1200 BIDWELL ST"," 1200 BIDWELL ST, Vancouver, BC, Canada",49.2860018,-123.1403293,1,49.2864395057187,-123.140105086955
"88",93,"Commercial Break and Enter",2014,1,"13XX VENABLES ST","1300 VENABLES ST"," 1300 VENABLES ST, Vancouver, BC, Canada",49.2766251,-123.0770009,1,49.2770574907025,-123.076775041977
"89",94,"Commercial Break and Enter",2014,1,"8XX POWELL ST","800 POWELL ST"," 800 POWELL ST, Vancouver, BC, Canada",49.2828251,-123.086837,1,49.2831955557105,-123.086540207096
"90",95,"Commercial Break and Enter",2014,1,"4XX E 10TH AVE","400 E 10TH AVE"," 400 E 10TH AVE, Vancouver, BC, Canada",49.2614838,-123.0958379,1,49.261825397162,-123.095685637772
"91",96,"Commercial Break and Enter",2014,1,"ALBERNI ST / CHILCO ST","ALBERNI ST / CHILCO ST"," ALBERNI ST / CHILCO ST, Vancouver, BC, Canada",49.28627,-123.12532,1,49.2864989722309,-123.125075409482
"92",97,"Commercial Break and Enter",2014,1,"20XX W 2ND AVE","2000 W 2ND AVE"," 2000 W 2ND AVE, Vancouver, BC, Canada",49.2697151,-123.1504934,1,49.2698896881604,-123.1503686324
"93",98,"Commercial Break and Enter",2014,1,"86XX BARNARD ST","8600 BARNARD ST"," 8600 BARNARD ST, Vancouver, BC, Canada",49.2084246,-123.1449042,1,49.2087864929384,-123.14471299281
"94",99,"Commercial Break and Enter",2014,1,"9XX STATION ST","900 STATION ST"," 900 STATION ST, Vancouver, BC, Canada",49.2765789,-123.0988255,1,49.2767907484048,-123.09850940995
"95",100,"Commercial Break and Enter",2014,1,"32XX OAK ST","3200 OAK ST"," 3200 OAK ST, Vancouver, BC, Canada",49.2569453,-123.1270389,1,49.2570887161024,-123.126862531541
"96",102,"Commercial Break and Enter",2014,1,"22XX COMMERCIAL DR","2200 COMMERCIAL DR"," 2200 COMMERCIAL DR, Vancouver, BC, Canada",49.2649076,-123.0695951,1,49.2650465220406,-123.069403630791
"97",104,"Commercial Break and Enter",2014,1,"1XX W 7TH AVE","100 W 7TH AVE"," 100 W 7TH AVE, Vancouver, BC, Canada",49.2645851,-123.1069731,1,49.2650469300929,-123.106628672156
"98",105,"Commercial Break and Enter",2014,1,"64XX FRASER ST","6400 FRASER ST"," 6400 FRASER ST, Vancouver, BC, Canada",49.2263666,-123.0905547,1,49.2265503451626,-123.090225739387
"99",106,"Commercial Break and Enter",2014,1,"18XX COMMERCIAL DR","1800 COMMERCIAL DR"," 1800 COMMERCIAL DR, Vancouver, BC, Canada",49.2685675,-123.0695151,1,49.2689861357135,-123.069137703853
"100",107,"Commercial Break and Enter",2014,1,"18XX W BROADWAY AVE","1800 W BROADWAY AVE"," 1800 W BROADWAY AVE, Vancouver, BC, Canada",49.2635851,-123.1459829,1,49.2638043017949,-123.145874083394
"101",108,"Commercial Break and Enter",2014,1,"18XX COMMERCIAL DR","1800 COMMERCIAL DR"," 1800 COMMERCIAL DR, Vancouver, BC, Canada",49.2685675,-123.0695151,1,49.2687361404248,-123.069015867213
"102",109,"Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE"," 100 W 1ST AVE, Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2705081494194,-123.106474402616
"103",110,"Commercial Break and Enter",2014,1,"30XX E KENT N AVE","3000 E KENT N AVE"," 3000 E KENT N AVE, Vancouver, BC, Canada",49.2065419,-123.0450129,1,49.2069049008938,-123.044598437782
"104",112,"Commercial Break and Enter",2014,1,"6XX ABBOTT ST","600 ABBOTT ST"," 600 ABBOTT ST, Vancouver, BC, Canada",49.2795536,-123.1074751,1,49.2798011084279,-123.107246374636
"105",113,"Commercial Break and Enter",2014,1,"8XX SEYMOUR ST","800 SEYMOUR ST"," 800 SEYMOUR ST, Vancouver, BC, Canada",49.2804991,-123.1189233,1,49.2808709822766,-123.118783700295
"106",114,"Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST"," 700 E CORDOVA ST, Vancouver, BC, Canada",49.2819547,-123.0892022,1,49.2824021258688,-123.088756088717
"107",115,"Commercial Break and Enter",2014,1,"3XX KEEFER ST","300 KEEFER ST"," 300 KEEFER ST, Vancouver, BC, Canada",49.2792742,-123.096984,1,49.2796938353827,-123.096790140554
"108",116,"Commercial Break and Enter",2014,1,"1XX W 2ND AVE","100 W 2ND AVE"," 100 W 2ND AVE, Vancouver, BC, Canada",49.2691651,-123.1067931,1,49.2693564398365,-123.106686505241
"109",117,"Commercial Break and Enter",2014,1,"5XX DUNSMUIR ST","500 DUNSMUIR ST"," 500 DUNSMUIR ST, Vancouver, BC, Canada",49.28229,-123.11511,1,49.2825775999104,-123.114784904224
"110",118,"Commercial Break and Enter",2014,1,"9XX MAIN ST","900 MAIN ST"," 900 MAIN ST, Vancouver, BC, Canada",49.2766075,-123.0996538,1,49.276972928531,-123.099403552432
"111",119,"Commercial Break and Enter",2014,1,"5XX BEATTY ST","500 BEATTY ST"," 500 BEATTY ST, Vancouver, BC, Canada",49.2810072,-123.1084969,1,49.2813267840846,-123.108373180862
"112",120,"Commercial Break and Enter",2014,1,"13XX E 8TH AVE","1300 E 8TH AVE"," 1300 E 8TH AVE, Vancouver, BC, Canada",49.2631951,-123.0772892,1,49.263486069168,-123.076825223746
"113",121,"Commercial Break and Enter",2014,1,"1XX W 8TH AVE","100 W 8TH AVE"," 100 W 8TH AVE, Vancouver, BC, Canada",49.2636651,-123.1070025,1,49.2639283611745,-123.106657116191
"114",122,"Commercial Break and Enter",2014,1,"2XX E 2ND AVE","200 E 2ND AVE"," 200 E 2ND AVE, Vancouver, BC, Canada",49.2688762,-123.1005323,1,49.2692271394045,-123.100429502027
"115",124,"Commercial Break and Enter",2014,1,"24XX HEMLOCK ST","2400 HEMLOCK ST"," 2400 HEMLOCK ST, Vancouver, BC, Canada",49.2643099,-123.135827,1,49.2645652566786,-123.135374740942
"116",125,"Commercial Break and Enter",2014,1,"1XX W 5TH AVE","100 W 5TH AVE"," 100 W 5TH AVE, Vancouver, BC, Canada",49.2663851,-123.106893,1,49.2666117064567,-123.106571786203
"117",126,"Commercial Break and Enter",2014,1,"17XX W 4TH AVE","1700 W 4TH AVE"," 1700 W 4TH AVE, Vancouver, BC, Canada",49.2678551,-123.1434235,1,49.268283952816,-123.1429612308
"118",127,"Commercial Break and Enter",2014,1,"1XX KEEFER PL","100 KEEFER PL"," 100 KEEFER PL, Vancouver, BC, Canada",49.279606,-123.107833,1,49.2799569311547,-123.107430938787
"119",128,"Commercial Break and Enter",2014,1,"11XX HARO ST","1100 HARO ST"," 1100 HARO ST, Vancouver, BC, Canada",49.2838563,-123.1261119,1,49.2841806504827,-123.125702638051
"120",129,"Commercial Break and Enter",2014,1,"21XX MAIN ST","2100 MAIN ST"," 2100 MAIN ST, Vancouver, BC, Canada",49.2662543,-123.100605,1,49.2664238865119,-123.100487354857
"121",130,"Commercial Break and Enter",2014,1,"12XX HARO ST","1200 HARO ST"," 1200 HARO ST, Vancouver, BC, Canada",49.2852861,-123.1282911,1,49.2855398081081,-123.128051279631
"122",131,"Commercial Break and Enter",2014,1,"10XX E 8TH AVE","1000 E 8TH AVE"," 1000 E 8TH AVE, Vancouver, BC, Canada",49.2632449,-123.0830309,1,49.263479706815,-123.082708546658
"123",132,"Commercial Break and Enter",2014,1,"52XX HEATHER ST","5200 HEATHER ST"," 5200 HEATHER ST, Vancouver, BC, Canada",49.2382266,-123.1204598,1,49.2385020685267,-123.120139412574
"124",133,"Commercial Break and Enter",2014,1,"4XX RAILWAY ST","400 RAILWAY ST"," 400 RAILWAY ST, Vancouver, BC, Canada",49.2848289,-123.0949844,1,49.2851593858489,-123.09469425651
"125",134,"Commercial Break and Enter",2014,1,"14XX RICHARDS ST","1400 RICHARDS ST"," 1400 RICHARDS ST, Vancouver, BC, Canada",49.2735095,-123.1276064,1,49.2739176774624,-123.127288180046
"126",135,"Commercial Break and Enter",2014,1,"14XX NELSON ST","1400 NELSON ST"," 1400 NELSON ST, Vancouver, BC, Canada",49.2857949,-123.1333566,1,49.2859092717924,-123.133102191858
"127",136,"Commercial Break and Enter",2014,1,"85XX KINROSS ST","8500 KINROSS ST"," 8500 KINROSS ST, Vancouver, BC, Canada",49.20633,-123.03535,1,49.2065403641781,-123.035006515363
"128",137,"Commercial Break and Enter",2014,1,"16XX CLARK DR","1600 CLARK DR"," 1600 CLARK DR, Vancouver, BC, Canada",49.2704377,-123.0771343,1,49.2709001126159,-123.076718701591
"129",138,"Commercial Break and Enter",2014,1,"15XX HOWE ST","1500 HOWE ST"," 1500 HOWE ST, Vancouver, BC, Canada",49.27417,-123.132,1,49.2745746332533,-123.131529108293
"130",139,"Commercial Break and Enter",2014,1,"11XX W GEORGIA ST","1100 W GEORGIA ST"," 1100 W GEORGIA ST, Vancouver, BC, Canada",49.2856665,-123.1234024,1,49.2858199849987,-123.123256612392
"131",140,"Commercial Break and Enter",2014,1,"12XX W 8TH AVE","1200 W 8TH AVE"," 1200 W 8TH AVE, Vancouver, BC, Canada",49.2642851,-123.131563,1,49.26465639955,-123.131075008785
"132",141,"Commercial Break and Enter",2014,1,"36XX E HASTINGS ST","3600 E HASTINGS ST"," 3600 E HASTINGS ST, Vancouver, BC, Canada",49.28085,-123.02527,1,49.2809994247085,-123.024968541744
"133",143,"Commercial Break and Enter",2014,1,"11XX BURRARD ST","1100 BURRARD ST"," 1100 BURRARD ST, Vancouver, BC, Canada",49.27968,-123.12763,1,49.2798142423918,-123.127389373451
"134",144,"Commercial Break and Enter",2014,1,"16XX W 3RD AVE","1600 W 3RD AVE"," 1600 W 3RD AVE, Vancouver, BC, Canada",49.2686751,-123.1410034,1,49.2688096326831,-123.140632720276
