"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","full_address","lat","lon","cid","lat_offset","lon_offset"
"60","Commercial Break and Enter",2011,1,"800 W HASTINGS ST","800 W HASTINGS ST , Vancouver, BC, Canada",49.2858257,-123.1149501,1,49.2860313771328,-123.114548934414
"61","Commercial Break and Enter",2011,1,"800 W HASTINGS ST","800 W HASTINGS ST , Vancouver, BC, Canada",49.2858257,-123.1149501,1,49.2861760512554,-123.114726059781
"62","Commercial Break and Enter",2011,1,"1100 DENMAN ST","1100 DENMAN ST , Vancouver, BC, Canada",49.2880734,-123.1403218,1,49.2882675095158,-123.140147264079
"63","Commercial Break and Enter",2011,1,"800 W HASTINGS ST","800 W HASTINGS ST , Vancouver, BC, Canada",49.2858257,-123.1149501,1,49.2861177277835,-123.114799823757
"64","Commercial Break and Enter",2011,1,"100 E HASTINGS ST","100 E HASTINGS ST , Vancouver, BC, Canada",49.2812718,-123.1021792,1,49.2814880237416,-123.10169746075
"65","Commercial Break and Enter",2011,1,"2400 SPRUCE ST","2400 SPRUCE ST , Vancouver, BC, Canada",49.2642321,-123.1288351,1,49.2647175341086,-123.128541707282
"66","Commercial Break and Enter",2011,1,"100 WATER ST","100 WATER ST , Vancouver, BC, Canada",49.2837861,-123.1065744,1,49.2841707262867,-123.106156792418
"67","Commercial Break and Enter",2011,1,"3300 KINGSWAY AVE","3300 KINGSWAY AVE , Vancouver, BC, Canada",49.2339245,-123.0357616,1,49.2344240078268,-123.035617255777
"68","Commercial Break and Enter",2011,1,"4500 CLANCY LORANGER WAY","4500 CLANCY LORANGER WAY , Vancouver, BC, Canada",49.2431728,-123.1081595,1,49.2435449612852,-123.107972333231
"69","Commercial Break and Enter",2011,1,"2700 MAIN ST","2700 MAIN ST , Vancouver, BC, Canada",49.2610018,-123.1008263,1,49.2613563851934,-123.100392036857
"70","Commercial Break and Enter",2011,1,"200 W BROADWAY AVE","200 W BROADWAY AVE , Vancouver, BC, Canada",49.2629851,-123.1096845,1,49.263126499007,-123.109216333215
"71","Commercial Break and Enter",2011,1,"1300 E KENT N AVE","1300 E KENT N AVE , Vancouver, BC, Canada",49.2089654,-123.0805572,1,49.2092008488126,-123.080069308835
"72","Commercial Break and Enter",2011,1,"8700 HEATHER ST","8700 HEATHER ST , Vancouver, BC, Canada",49.207041,-123.1241847,1,49.2075353489006,-123.123685942856
"73","Commercial Break and Enter",2011,1,"1000 W GEORGIA ST","1000 W GEORGIA ST , Vancouver, BC, Canada",49.2843551,-123.1212978,1,49.2848224045913,-123.120938763129
"74","Commercial Break and Enter",2011,1,"1000 ROBSON ST","1000 ROBSON ST , Vancouver, BC, Canada",49.28333,-123.12328,1,49.2835712071073,-123.122881233702
"75","Commercial Break and Enter",2011,1,"2000 BARCLAY ST","2000 BARCLAY ST , Vancouver, BC, Canada",49.2919573,-123.1407652,1,49.2923393879734,-123.140407927162
"76","Commercial Break and Enter",2011,1,"1200 GRANVILLE ST","1200 GRANVILLE ST , Vancouver, BC, Canada",49.2769284,-123.1262661,1,49.2774002232125,-123.125947048781
"77","Commercial Break and Enter",2011,1,"800 W BROADWAY AVE","800 W BROADWAY AVE , Vancouver, BC, Canada",49.2632051,-123.1220434,1,49.2635056438884,-123.121551027302
"78","Commercial Break and Enter",2011,1,"1300 NANAIMO ST","1300 NANAIMO ST , Vancouver, BC, Canada",49.273268,-123.0564551,1,49.2735582736758,-123.056199129321
"79","Commercial Break and Enter",2011,1,"300 WETHERSFIELD DR","300 WETHERSFIELD DR , Vancouver, BC, Canada",49.2242153,-123.1136694,1,49.2244326951556,-123.113324042901
"80","Commercial Break and Enter",2011,1,"800 HOMER ST","800 HOMER ST , Vancouver, BC, Canada",49.2792188,-123.116954,1,49.279453549254,-123.116612077865
"81","Commercial Break and Enter",2011,1,"100 E BROADWAY AVE","100 E BROADWAY AVE , Vancouver, BC, Canada",49.2628242,-123.1027275,1,49.2630088886834,-123.102347612215
"82","Commercial Break and Enter",2011,1,"POWELL ST / RAYMUR AVE","POWELL ST / RAYMUR AVE , Vancouver, BC, Canada",49.28169,-123.08241,1,49.2820219640639,-123.082233463381
"83","Commercial Break and Enter",2011,1,"1400 OLD BRIDGE ST","1400 OLD BRIDGE ST , Vancouver, BC, Canada",49.2708213,-123.1339407,1,49.2712780323926,-123.133692555412
"84","Commercial Break and Enter",2011,1,"2200 PANDORA ST","2200 PANDORA ST , Vancouver, BC, Canada",49.2829051,-123.0594994,1,49.2830427363661,-123.059259485835
"85","Commercial Break and Enter",2011,1,"3200 GRANDVIEW HWY","3200 GRANDVIEW HWY , Vancouver, BC, Canada",49.2580351,-123.0363798,1,49.2583254260401,-123.035898961098
"86","Commercial Break and Enter",2011,1,"800 HORNBY ST","800 HORNBY ST , Vancouver, BC, Canada",49.28128,-123.12284,1,49.281722903471,-123.122463831825
"87","Commercial Break and Enter",2011,1,"6600 FRASER ST","6600 FRASER ST , Vancouver, BC, Canada",49.2243968,-123.0906651,1,49.2247439449113,-123.09018023562
"88","Commercial Break and Enter",2011,1,"6600 FRASER ST","6600 FRASER ST , Vancouver, BC, Canada",49.2243968,-123.0906651,1,49.2246245374999,-123.090199951319
"89","Commercial Break and Enter",2011,1,"6600 FRASER ST","6600 FRASER ST , Vancouver, BC, Canada",49.2243968,-123.0906651,1,49.2247117370369,-123.090299619875
"90","Commercial Break and Enter",2011,1,"6600 FRASER ST","6600 FRASER ST , Vancouver, BC, Canada",49.2243968,-123.0906651,1,49.2247696621741,-123.090411511418
"91","Commercial Break and Enter",2011,1,"2200 W 10TH AVE","2200 W 10TH AVE , Vancouver, BC, Canada",49.2627351,-123.1555322,1,49.2629285902768,-123.155309322743
"92","Commercial Break and Enter",2011,1,"2400 STEPHENS ST","2400 STEPHENS ST , Vancouver, BC, Canada",49.2648273,-123.1662696,1,49.2649524506186,-123.165893494353
"93","Commercial Break and Enter",2011,1,"1800 W 1ST AVE","1800 W 1ST AVE , Vancouver, BC, Canada",49.2705151,-123.1457142,1,49.2708644520956,-123.14547098922
"94","Commercial Break and Enter",2011,1,"400 GRANVILLE ST","400 GRANVILLE ST , Vancouver, BC, Canada",49.2850907,-123.1139359,1,49.2855182602773,-123.113637709159
"95","Commercial Break and Enter",2011,1,"1400 W GEORGIA ST","1400 W GEORGIA ST , Vancouver, BC, Canada",49.2889956,-123.1284695,1,49.2894276783742,-123.128300818016
"96","Commercial Break and Enter",2011,1,"500 CLARK DR","500 CLARK DR , Vancouver, BC, Canada",49.2802136,-123.0769851,1,49.2805323782995,-123.076668195998
"97","Commercial Break and Enter",2011,1,"2500 E HASTINGS ST","2500 E HASTINGS ST , Vancouver, BC, Canada",49.2810051,-123.0543193,1,49.2811833250003,-123.053906986061
"98","Commercial Break and Enter",2011,1,"1000 HOMER ST","1000 HOMER ST , Vancouver, BC, Canada",49.2770887,-123.1201572,1,49.2774857590209,-123.120002968779
"99","Commercial Break and Enter",2011,1,"100 KEEFER PL","100 KEEFER PL , Vancouver, BC, Canada",49.279606,-123.107833,1,49.2800109967952,-123.107573027254
"100","Commercial Break and Enter",2011,1,"1000 JERVIS ST","1000 JERVIS ST , Vancouver, BC, Canada",49.2846861,-123.131825,1,49.2851482477231,-123.131594764287
"101","Commercial Break and Enter",2011,1,"200 UNION ST","200 UNION ST , Vancouver, BC, Canada",49.2775444,-123.0995769,1,49.2776717944042,-123.099219518093
"102","Commercial Break and Enter",2011,1,"1100 ROBSON ST","1100 ROBSON ST , Vancouver, BC, Canada",49.28457,-123.12536,1,49.284888840781,-123.12520411339
"103","Commercial Break and Enter",2011,1,"300 E 14TH AVE","300 E 14TH AVE , Vancouver, BC, Canada",49.2582649,-123.0981295,1,49.2587266412392,-123.097835881223
"104","Commercial Break and Enter",2011,1,"100 WATER ST","100 WATER ST , Vancouver, BC, Canada",49.2837861,-123.1065744,1,49.2842562103116,-123.106256278832
"105","Commercial Break and Enter",2011,1,"300 N NANAIMO ST","300 N NANAIMO ST , Vancouver, BC, Canada",49.2877153,-123.0563344,1,49.2879726564615,-123.056093375672
"106","Commercial Break and Enter",2011,1,"1100 MAINLAND ST","1100 MAINLAND ST , Vancouver, BC, Canada",49.2753186,-123.1206295,1,49.2754986378393,-123.120357209064
"107","Commercial Break and Enter",2011,1,"300 TERMINAL AVE","300 TERMINAL AVE , Vancouver, BC, Canada",49.2722001,-123.0978569,1,49.2725871529722,-123.097751964854
"108","Commercial Break and Enter",2011,1,"300 E 15TH AVE","300 E 15TH AVE , Vancouver, BC, Canada",49.2573447,-123.0981616,1,49.2576517897104,-123.097795817389
"110","Commercial Break and Enter",2011,1,"300 E 2ND AVE","300 E 2ND AVE , Vancouver, BC, Canada",49.2675505,-123.0981123,1,49.2676705817967,-123.097738628263
"111","Commercial Break and Enter",2011,1,"100 E 2ND AVE","100 E 2ND AVE , Vancouver, BC, Canada",49.2690851,-123.1024904,1,49.2693081169121,-123.102267940861
"112","Commercial Break and Enter",2011,1,"100 E 2ND AVE","100 E 2ND AVE , Vancouver, BC, Canada",49.2690851,-123.1024904,1,49.2694618701016,-123.102124414427
"113","Commercial Break and Enter",2011,1,"3600 MAIN ST","3600 MAIN ST , Vancouver, BC, Canada",49.2528811,-123.1007374,1,49.2531563949061,-123.100521496818
"114","Commercial Break and Enter",2011,1,"1200 VERNON DR","1200 VERNON DR , Vancouver, BC, Canada",49.2739564,-123.0785351,1,49.2742720212203,-123.078237563408
"115","Commercial Break and Enter",2011,1,"2200 ST GEORGE ST","2200 ST GEORGE ST , Vancouver, BC, Canada",49.2651371,-123.0928651,1,49.265543315998,-123.092388718011
"116","Commercial Break and Enter",2011,1,"1100 HAMILTON ST","1100 HAMILTON ST , Vancouver, BC, Canada",49.2757095,-123.1211894,1,49.2758217483772,-123.120855734981
"117","Commercial Break and Enter",2011,1,"600 ABBOTT ST","600 ABBOTT ST , Vancouver, BC, Canada",49.2795536,-123.1074751,1,49.2798737836874,-123.107082461669
"118","Commercial Break and Enter",2011,1,"1500 DAVIE ST","1500 DAVIE ST , Vancouver, BC, Canada",49.2844263,-123.1377618,1,49.2847655469328,-123.137434365334
"119","Commercial Break and Enter",2011,1,"100 W BROADWAY AVE","100 W BROADWAY AVE , Vancouver, BC, Canada",49.2629351,-123.1070431,1,49.2631083691097,-123.106895971726
"120","Commercial Break and Enter",2011,1,"3400 MAIN ST","3400 MAIN ST , Vancouver, BC, Canada",49.2549518,-123.1008762,1,49.2552013224686,-123.10044267329
"121","Commercial Break and Enter",2011,1,"500 COLUMBIA ST","500 COLUMBIA ST , Vancouver, BC, Canada",49.2802679,-123.1020846,1,49.2804831552769,-123.101873485615
"122","Commercial Break and Enter",2011,1,"1600 HORNBY ST","1600 HORNBY ST , Vancouver, BC, Canada",49.27398,-123.13412,1,49.2741748879725,-123.133682350578
"123","Commercial Break and Enter",2011,1,"400 GRANVILLE ST","400 GRANVILLE ST , Vancouver, BC, Canada",49.2850907,-123.1139359,1,49.2853324852723,-123.113696602908
"124","Commercial Break and Enter",2011,1,"7500 VICTORIA DR","7500 VICTORIA DR , Vancouver, BC, Canada",49.2164824,-123.0658651,1,49.2168059078808,-123.065648504874
"125","Commercial Break and Enter",2011,1,"1800 ROBSON ST","1800 ROBSON ST , Vancouver, BC, Canada",49.2914454,-123.1356785,1,49.2916877718837,-123.135522814956
"126","Commercial Break and Enter",2011,1,"1400 W 8TH AVE","1400 W 8TH AVE , Vancouver, BC, Canada",49.2643451,-123.1362335,1,49.2645253877835,-123.135922246082
"127","Commercial Break and Enter",2011,1,"100 POWELL ST","100 POWELL ST , Vancouver, BC, Canada",49.28297,-123.10184,1,49.2831779757428,-123.101385641198
"128","Commercial Break and Enter",2011,1,"1800 BURRARD ST","1800 BURRARD ST , Vancouver, BC, Canada",49.2696084,-123.1453672,1,49.2698337542258,-123.145116668827
"129","Commercial Break and Enter",2011,1,"100 POWELL ST","100 POWELL ST , Vancouver, BC, Canada",49.28297,-123.10184,1,49.283128095981,-123.101659621674
"130","Commercial Break and Enter",2011,1,"100 W 8TH AVE","100 W 8TH AVE , Vancouver, BC, Canada",49.2636651,-123.1070025,1,49.2640326012434,-123.10658298862
"131","Commercial Break and Enter",2011,1,"700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2831985807317,-123.118504185921
"132","Commercial Break and Enter",2011,1,"900 W 7TH AVE","900 W 7TH AVE , Vancouver, BC, Canada",49.2649952,-123.1240959,1,49.2654598866556,-123.123837841884
"133","Commercial Break and Enter",2011,1,"600 W BROADWAY AVE","600 W BROADWAY AVE , Vancouver, BC, Canada",49.2631451,-123.117715,1,49.2633448930087,-123.117316490352
"134","Commercial Break and Enter",2011,1,"2300 W 4TH AVE","2300 W 4TH AVE , Vancouver, BC, Canada",49.2680651,-123.1576178,1,49.2685202399084,-123.157444516902
"135","Commercial Break and Enter",2011,1,"1500 W 71ST AVE","1500 W 71ST AVE , Vancouver, BC, Canada",49.2070051,-123.14083,1,49.2072685003792,-123.140653605798
"136","Commercial Break and Enter",2011,1,"3600 MAIN ST","3600 MAIN ST , Vancouver, BC, Canada",49.2528811,-123.1007374,1,49.2531407650186,-123.10047248612
"137","Commercial Break and Enter",2011,1,"2100 W 16TH AVE","2100 W 16TH AVE , Vancouver, BC, Canada",49.2571751,-123.1530325,1,49.2576564450202,-123.152877609173
"138","Commercial Break and Enter",2011,1,"2100 W 16TH AVE","2100 W 16TH AVE , Vancouver, BC, Canada",49.2571751,-123.1530325,1,49.2573271598509,-123.152570312923
"139","Commercial Break and Enter",2011,1,"200 E 4TH AVE","200 E 4TH AVE , Vancouver, BC, Canada",49.2672051,-123.1005598,1,49.2673763711484,-123.100423999206
"140","Commercial Break and Enter",2011,1,"600 GRANVILLE ST","600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,1,49.2835761095818,-123.116379897891
"141","Commercial Break and Enter",2011,1,"600 DUNSMUIR ST","600 DUNSMUIR ST , Vancouver, BC, Canada",49.2829389,-123.1157009,1,49.2833121990393,-123.115384686276
"142","Commercial Break and Enter",2011,1,"600 GRANVILLE ST","600 GRANVILLE ST , Vancouver, BC, Canada",49.2833707,-123.1165078,1,49.2837354757427,-123.116097958458
"143","Commercial Break and Enter",2011,1,"700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2829439505789,-123.118279120283
"144","Commercial Break and Enter",2011,1,"700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2829437654983,-123.118407096441
"145","Commercial Break and Enter",2011,1,"700 GRANVILLE ST","700 GRANVILLE ST , Vancouver, BC, Canada",49.2822179,-123.1182166,1,49.2823361328826,-123.11811484307
"146","Commercial Break and Enter",2011,1,"2500 GRANVILLE ST","2500 GRANVILLE ST , Vancouver, BC, Canada",49.2634404,-123.1383739,1,49.2637955329207,-123.138193587576
"147","Commercial Break and Enter",2011,1,"100 E 5TH AVE","100 E 5TH AVE , Vancouver, BC, Canada",49.2663118,-123.1023318,1,49.2667273933564,-123.101839099859
"148","Commercial Break and Enter",2011,1,"1100 COMMERCIAL DR","1100 COMMERCIAL DR , Vancouver, BC, Canada",49.2747041,-123.0693235,1,49.2749644809335,-123.06884773419
"149","Commercial Break and Enter",2011,1,"1100 ALBERNI ST","1100 ALBERNI ST , Vancouver, BC, Canada",49.2852654,-123.1239986,1,49.2857031434808,-123.123754523588
"150","Commercial Break and Enter",2011,1,"2900 MAIN ST","2900 MAIN ST , Vancouver, BC, Canada",49.25917,-123.1009851,1,49.2594232383665,-123.10050761957
"151","Commercial Break and Enter",2011,2,"1300 W 11TH AVE","1300 W 11TH AVE , Vancouver, BC, Canada",49.2615051,-123.1339934,1,49.261734054303,-123.133827799809
"152","Commercial Break and Enter",2011,2,"700 PACIFIC BLVD","700 PACIFIC BLVD , Vancouver, BC, Canada",49.2767277,-123.108784,1,49.2771401962691,-123.108398783587
"154","Commercial Break and Enter",2011,2,"2800 E HASTINGS ST","2800 E HASTINGS ST , Vancouver, BC, Canada",49.2809951,-123.046401,1,49.2814734158421,-123.046121158567
"155","Commercial Break and Enter",2011,2,"600 W HASTINGS ST","600 W HASTINGS ST , Vancouver, BC, Canada",49.2846556,-123.1130995,1,49.28487700439,-123.112888590672
"156","Commercial Break and Enter",2011,2,"200 E 14TH AVE","200 E 14TH AVE , Vancouver, BC, Canada",49.2582751,-123.1003393,1,49.2587248295833,-123.099928507825
"157","Commercial Break and Enter",2011,2,"300 RAILWAY ST","300 RAILWAY ST , Vancouver, BC, Canada",49.2842268,-123.0976581,1,49.2846450076103,-123.097436689681
"158","Commercial Break and Enter",2011,2,"1800 W 1ST AVE","1800 W 1ST AVE , Vancouver, BC, Canada",49.2705151,-123.1457142,1,49.2707364188881,-123.145559716177
"159","Commercial Break and Enter",2011,2,"3200 MAIN ST","3200 MAIN ST , Vancouver, BC, Canada",49.2564476,-123.1010344,1,49.2569004625684,-123.100659705567
"160","Commercial Break and Enter",2011,2,"4400 MAIN ST","4400 MAIN ST , Vancouver, BC, Canada",49.2455259,-123.1010561,1,49.2457244051488,-123.10079803672
"161","Commercial Break and Enter",2011,2,"3100 KINGSWAY AVE","3100 KINGSWAY AVE , Vancouver, BC, Canada",49.23546,-123.0394006,1,49.2357134141751,-123.039241389381
"162","Commercial Break and Enter",2011,2,"1700 COMO0 ST","1700 COMO0 ST , Vancouver, BC, Canada",49.2876055,-123.1383789,1,49.2877187507445,-123.137886369823
"163","Commercial Break and Enter",2011,2,"4200 FRASER ST","4200 FRASER ST , Vancouver, BC, Canada",49.2474999,-123.0899639,1,49.2478076601325,-123.089606260354
